Date,Open,High,Low,Close,Volume
2010-10-29,6585.97,6630.98,6569.25,6601.37,93680308
2010-11-01,6637.09,6670.9,6586.01,6604.86,75385248
2010-11-02,6600.41,6668.93,6597.46,6654.31,71574419
2010-11-03,6666.07,6682.91,6604.75,6617.8,82909581
2010-11-04,6677.78,6757.29,6676.42,6734.69,130036953
2010-11-05,6743.56,6775.17,6712.47,6754.2,111691732
2010-11-08,6746.44,6759.41,6728.35,6750.5,98820667
2010-11-09,6742.05,6810.86,6736.63,6787.81,109749653
2010-11-10,6759.59,6783.69,6684.22,6719.84,132576761
2010-11-11,6747.8,6750.39,6700.47,6723.41,107481971
2010-11-12,6650.92,6758.59,6617.97,6734.61,117494916
2010-11-15,6705.13,6812.96,6679.69,6790.17,95231841
2010-11-16,6751.13,6772.01,6663.15,6663.24,131974986
2010-11-17,6658.99,6705.19,6653.57,6700.07,85428279
2010-11-18,6765.7,6835.54,6754.4,6832.11,99615627
2010-11-19,6841.37,6854.09,6794.43,6843.55,107514834
2010-11-22,6892.02,6901.93,6805.97,6822.05,96805163
2010-11-23,6791.75,6827.83,6705,6705,115849941
2010-11-24,6740.61,6833.7,6701.98,6823.8,118626141
2010-11-25,6834.68,6885.81,6823.19,6879.66,84547482
2010-11-26,6842.39,6871.71,6778.6,6848.98,101948645
2010-11-29,6867.77,6907.61,6697.97,6697.97,123908810
2010-11-30,6732.59,6763.52,6655.94,6688.49,132333683
2010-12-01,6748.36,6868.81,6736.69,6866.63,121565407
2010-12-02,6895.77,6958.69,6840.65,6957.61,130561578
2010-12-03,6947.31,6977.91,6914.5,6947.72,103221876
2010-12-06,6970.24,6971.95,6926.57,6954.38,84507173
2010-12-07,6987.88,7042.67,6962.1,7001.91,112763614
2010-12-08,6976.19,7013.53,6956.67,6975.87,89053118
2010-12-09,7017.99,7021.31,6947.9,6964.16,141055019
2010-12-10,6987.69,7018.11,6973.32,7006.17,98519277
2010-12-13,7027.58,7044.87,7017.6,7029.39,72037546
2010-12-14,7024.79,7032.65,7011.14,7027.4,75982466
2010-12-15,7007.49,7029.74,6964.13,7016.37,93677739
2010-12-16,7012.99,7033.03,6991.69,7024.4,78306522
2010-12-17,7042.83,7043.15,6980.18,6982.45,188705858
2010-12-20,7000.38,7068.56,6992.67,7018.6,73899439
2010-12-21,7045.25,7087.84,7042.98,7077.99,66695104
2010-12-22,7079.22,7084.1,7067.71,7067.92,62437971
2010-12-23,7083.08,7083.08,7042.58,7057.69,42131166
2010-12-27,7055.32,7056.34,6943.05,6970.73,44519624
2010-12-28,6984.85,6990.81,6957.65,6972.1,32268781
2010-12-29,6989.54,7008.31,6981.79,6995.47,39088925
2010-12-30,6996.56,7008.12,6897.22,6914.19,43679802
2011-01-03,6973.39,7026.62,6969.83,6989.74,61893159
2011-01-04,6979.68,7025.86,6952.02,6975.35,87665626
2011-01-05,6966.08,6967.24,6842.9,6939.82,117141934
2011-01-06,6949.48,7047.59,6949.07,6981.39,91236357
2011-01-07,6991.55,7010.89,6939.88,6947.84,92626858
2011-01-10,6920.36,6941.39,6835.74,6857.06,93167865
2011-01-11,6879.39,6951.19,6860.52,6941.57,115258129
2011-01-12,6958.84,7070.4,6958.5,7068.78,122555684
2011-01-13,7075.54,7084.07,7036.09,7075.11,160361356
2011-01-14,7055.42,7083.02,7015.35,7075.7,125089002
2011-01-17,7072.75,7087.43,7055.83,7078.06,79250925
2011-01-18,7100.48,7156.25,7099.12,7143.45,121727283
2011-01-19,7163.37,7165,7077.23,7082.76,110001948
2011-01-20,7074.89,7084.24,7008.62,7024.27,154426695
2011-01-21,7047.7,7122.89,7023.69,7062.42,173919172
2011-01-24,7080.78,7089.62,7000.41,7067.77,121571558
2011-01-25,7096.84,7102.08,7043.64,7059.01,122874787
2011-01-26,7092.89,7160.86,7087.25,7127.35,109512324
2011-01-27,7120.64,7180.15,7114.35,7155.58,113476485
2011-01-28,7155.47,7177.23,7102.8,7102.8,96018223
2011-01-31,7094.56,7107.37,7033.09,7077.48,92545937
2011-02-01,7133.34,7190.75,7105.31,7184.27,116634794
2011-02-02,7202.62,7222.13,7160.36,7183.67,113826237
2011-02-03,7175.75,7198.98,7144.08,7193.68,104647094
2011-02-04,7216.66,7226.64,7186.24,7216.21,93757085
2011-02-07,7222.05,7287.66,7214.05,7283.62,92812313
2011-02-08,7274.17,7325.03,7272.8,7323.24,98214050
2011-02-09,7319.12,7350.78,7310.44,7320.9,81413749
2011-02-10,7322.62,7340.87,7269.53,7340.28,105048339
2011-02-11,7320.07,7390.48,7283.87,7371.2,95662265
2011-02-14,7403.83,7424.36,7378.41,7396.63,69247592
2011-02-15,7397.68,7420.69,7376.24,7400.04,101297707
2011-02-16,7414.23,7438.42,7399.82,7414.3,122101003
2011-02-17,7429,7434.93,7364.04,7405.51,111656989
2011-02-18,7422.11,7427.3,7379.94,7426.81,121930981
2011-02-21,7412.06,7441.82,7310.69,7321.81,100625423
2011-02-22,7293.11,7350.95,7259.67,7318.35,120968874
2011-02-23,7295.12,7310.73,7183.3,7194.6,117520760
2011-02-24,7134.7,7156.05,7093.91,7130.5,137105117
2011-02-25,7139.88,7194.02,7130.15,7185.17,113634692
2011-02-28,7173.59,7305.49,7148.94,7272.32,101240574
2011-03-01,7309.8,7356.33,7193.78,7223.3,111907943
2011-03-02,7169.04,7202.58,7122.69,7181.12,110844060
2011-03-03,7225.23,7294.04,7191.14,7225.96,92527443
2011-03-04,7262.54,7311.25,7157.12,7178.9,94540576
2011-03-07,7137.81,7270.81,7127.31,7161.93,84051003
2011-03-08,7211.06,7222.16,7072.47,7164.75,141459201
2011-03-09,7177.55,7217.54,7109.26,7131.8,127471231
2011-03-10,7078.69,7109.41,7021.95,7063.09,128936231
2011-03-11,7002.26,7014.02,6963.31,6981.49,136808628
2011-03-14,6896.31,6946.44,6847.94,6866.63,158241456
2011-03-15,6668.99,6714.83,6483.39,6647.66,272484040
2011-03-16,6696.31,6733.03,6501.85,6513.84,194617022
2011-03-17,6557.85,6692.83,6517.18,6656.88,141334508
2011-03-18,6715.17,6761.31,6655.69,6664.4,243705795
2011-03-21,6782.3,6829.75,6781.3,6816.12,214704739
2011-03-22,6823.08,6826.03,6765.06,6780.97,117257607
2011-03-23,6749.18,6807.38,6720.02,6804.45,93178229
2011-03-24,6798.08,6941.72,6787.04,6933.58,100643087
2011-03-25,6971.77,6985.25,6920.57,6946.36,78095311
2011-03-28,6931.86,6981.19,6915.58,6938.63,70328906
2011-03-29,6952.51,6960.16,6867.42,6934.44,91399770
2011-03-30,7010.77,7065.27,7002.77,7057.15,97750220
2011-03-31,7068.29,7079.76,7041.31,7041.31,94596758
2011-04-01,7086.56,7192.38,7086.56,7179.81,103281894
2011-04-04,7178.59,7200.26,7168.24,7175.33,79269784
2011-04-05,7174.69,7186.35,7129.41,7175.31,104322578
2011-04-06,7197.37,7242.69,7157.68,7215.11,153818365
2011-04-07,7212.46,7241.09,7175.35,7178.78,125928045
2011-04-08,7226.79,7232.87,7195.44,7217.02,117232375
2011-04-11,7215.34,7224.74,7157.33,7204.86,108138932
2011-04-12,7131.44,7177.74,7089.17,7102.91,147603098
2011-04-13,7135.21,7201.12,7122.51,7177.97,182464867
2011-04-14,7160.99,7184.93,7099.66,7146.56,134223271
2011-04-15,7166.98,7193.38,7144.96,7178.29,187053264
2011-04-18,7165.99,7174.75,6994.56,7026.85,163927556
2011-04-19,7050.85,7078.79,7027.04,7039.31,130648600
2011-04-20,7137.1,7261.26,7136.74,7249.19,142610327
2011-04-21,7294.58,7316.53,7280.1,7295.49,115546552
2011-04-26,7288.77,7359.97,7278.52,7356.51,83584911
2011-04-27,7374.11,7428.72,7361.24,7404.95,107730984
2011-04-28,7450.57,7480.33,7426.62,7475.22,138731287
2011-04-29,7475,7514.69,7461.53,7514.46,91918499
2011-05-02,7570.86,7600.41,7527.64,7527.64,92276231
2011-05-03,7518.6,7523.68,7446.83,7500.7,142236906
2011-05-04,7475.18,7534.26,7355.4,7373.93,182273447
2011-05-05,7416.38,7423.96,7291.39,7376.96,194776628
2011-05-06,7391.04,7501.63,7362.55,7492.25,175803709
2011-05-09,7461.35,7489.09,7379.97,7410.52,121918870
2011-05-10,7446.44,7533.86,7423.33,7501.52,107863877
2011-05-11,7526.56,7566.41,7469.63,7495.05,118539567
2011-05-12,7438.02,7443.95,7356.76,7443.95,154679334
2011-05-13,7486.2,7511.09,7391.14,7403.31,136905907
2011-05-16,7348.12,7402.52,7284.96,7387.54,154713263
2011-05-17,7346.81,7368.32,7253.89,7256.65,117671336
2011-05-18,7325.85,7340.54,7261.29,7303.53,94210117
2011-05-19,7360.47,7415.65,7316.74,7358.23,124046726
2011-05-20,7372.18,7410.31,7228.13,7266.82,286354916
2011-05-23,7158.08,7165.8,7105.2,7121.52,185377924
2011-05-24,7129.94,7202.21,7128.04,7150.66,192413884
2011-05-25,7079.25,7183.8,7071.42,7170.94,240857809
2011-05-26,7202.72,7217.24,7087.32,7114.09,225572427
2011-05-27,7205.13,7208.48,7115.48,7163.47,190772715
2011-05-30,7165,7204.16,7146.98,7160.3,98879158
2011-05-31,7240.12,7319.69,7238.77,7293.69,216651046
2011-06-01,7310.56,7314.66,7193.89,7217.43,228386589
2011-06-02,7155.86,7157.59,7074.12,7074.12,111564727
2011-06-03,7101.48,7120.12,7021.36,7109.03,162452246
2011-06-06,7095.4,7124.31,7062.73,7084.57,113842961
2011-06-07,7094.14,7147.63,7086.92,7103.25,116852484
2011-06-08,7076.31,7089.15,6995.4,7060.23,145465317
2011-06-09,7061.87,7183.78,7035.86,7159.66,149284727
2011-06-10,7152.55,7182.83,7050.84,7069.9,136631470
2011-06-13,7075.91,7123.88,7040.42,7085.14,66730338
2011-06-14,7165.14,7231.49,7161.21,7204.79,113231534
2011-06-15,7178.05,7202.17,7093.23,7115.08,123845430
2011-06-16,7062.18,7111.64,7018.31,7110.2,161145880
2011-06-17,7084.27,7224.11,7037.24,7164.05,370096737
2011-06-20,7078.59,7158.24,7063.86,7150.21,103234772
2011-06-21,7202.88,7285.51,7176.74,7285.51,137260734
2011-06-22,7285.93,7310.1,7262.37,7278.19,123713058
2011-06-23,7225.2,7237.2,7118.52,7149.44,132108979
2011-06-24,7231.73,7273.32,7099.22,7121.38,167161149
2011-06-27,7101.15,7144.44,7079.11,7107.9,149929922
2011-06-28,7138.5,7187.08,7075.19,7170.43,137242600
