Date,Open,High,Low,Close
2011-06-15,1.4443,1.4451,1.4156,1.4163
2011-06-16,1.4166,1.4219,1.4074,1.4215
2011-06-17,1.4213,1.4339,1.4127,1.4308
2011-06-20,1.4277,1.4327,1.4191,1.4308
2011-06-21,1.4307,1.443,1.4307,1.4401
2011-06-22,1.4401,1.4442,1.4332,1.4335
2011-06-23,1.4336,1.4338,1.4127,1.4264
2011-06-24,1.4263,1.4306,1.4142,1.4188
2011-06-27,1.4189,1.4293,1.4103,1.4287
2011-06-28,1.4287,1.4397,1.4237,1.4368
2011-06-29,1.4367,1.4448,1.4338,1.4435
2011-06-30,1.4434,1.4537,1.4427,1.4492
2011-07-01,1.4493,1.4551,1.4436,1.4526
2011-07-04,1.4539,1.4573,1.4496,1.454
2011-07-05,1.4541,1.4553,1.4397,1.4423
2011-07-06,1.4423,1.4466,1.4286,1.4316
2011-07-07,1.4317,1.4374,1.4221,1.4358
2011-07-08,1.4359,1.4368,1.4208,1.4265
2011-07-11,1.4221,1.4227,1.3986,1.4047
2011-07-12,1.4047,1.4061,1.3838,1.3972
2011-07-13,1.3967,1.4237,1.3951,1.4237
2011-07-14,1.4239,1.4274,1.4116,1.4146
2011-07-15,1.4146,1.4199,1.4092,1.4158
2011-07-18,1.4121,1.4134,1.4016,1.4104
2011-07-19,1.4104,1.4217,1.4069,1.4154
2011-07-20,1.4154,1.4239,1.4133,1.4221
2011-07-21,1.422,1.4438,1.4139,1.442
2011-07-22,1.442,1.4437,1.4324,1.4357
2011-07-25,1.4399,1.4406,1.4325,1.4377
2011-07-26,1.4377,1.4525,1.4357,1.4514
2011-07-27,1.4512,1.4536,1.434,1.4368
2011-07-28,1.4369,1.44,1.4254,1.4327
2011-07-29,1.4326,1.4413,1.4232,1.4399
2011-08-01,1.4359,1.4453,1.4185,1.4254
2011-08-02,1.4254,1.4282,1.4151,1.419
2011-08-03,1.4189,1.4371,1.4144,1.4362
2011-08-04,1.436,1.4368,1.409,1.4091
2011-08-05,1.4093,1.4298,1.4055,1.4278
2011-08-08,1.437,1.4401,1.4134,1.4164
2011-08-09,1.4168,1.4398,1.4152,1.4391
2011-08-10,1.4392,1.4401,1.4162,1.4163
2011-08-11,1.4162,1.4293,1.4104,1.4238
2011-08-12,1.4238,1.429,1.415,1.425
2011-08-15,1.4262,1.4476,1.4262,1.4449
2011-08-16,1.4447,1.4471,1.4354,1.44
2011-08-17,1.44,1.4517,1.4325,1.4426
2011-08-18,1.4425,1.4451,1.4271,1.4323
2011-08-19,1.4325,1.4452,1.4259,1.4398
2011-08-22,1.4374,1.4434,1.4347,1.4358
2011-08-23,1.4358,1.45,1.4353,1.4435
2011-08-24,1.4434,1.4481,1.4379,1.4407
2011-08-25,1.4408,1.4475,1.4329,1.4374
2011-08-26,1.4374,1.4501,1.4329,1.45
2011-08-29,1.4492,1.4549,1.4466,1.4514
2011-08-30,1.4514,1.4533,1.4385,1.4439
2011-08-31,1.4439,1.4468,1.4359,1.4379
2011-09-01,1.438,1.4381,1.4226,1.4259
2011-09-02,1.4261,1.4287,1.4184,1.4205
2011-09-05,1.4162,1.4173,1.4061,1.4095
2011-09-06,1.4094,1.427,1.3972,1.4005
2011-09-07,1.4003,1.4148,1.3994,1.4093
